Environment	abf_r	abf_b
80.100000	-0.283989	-0.097310
80.200000	-0.283989	-0.100119
80.300000	-0.283989	-0.102905
80.400000	-0.283989	-0.105669
80.500000	-0.283989	-0.108409
80.600000	-0.283989	-0.111127
80.700000	-0.283989	-0.113822
80.800000	-0.283989	-0.116494
80.900000	-0.283989	-0.119143
81.000000	-0.283989	-0.121768
81.100000	-0.283989	-0.124371
81.200000	-0.283989	-0.126950
81.300000	-0.283989	-0.129506
81.400000	-0.283989	-0.132039
81.500000	-0.283989	-0.134548
81.600000	-0.283989	-0.137034
81.700000	-0.283989	-0.139497
81.800000	-0.283989	-0.141936
81.900000	-0.283989	-0.144352
82.000000	-0.283989	-0.146744
82.100000	-0.283989	-0.149112
82.200000	-0.283989	-0.151457
82.300000	-0.283989	-0.153779
82.400000	-0.283989	-0.156077
82.500000	-0.283989	-0.158351
82.600000	-0.283989	-0.160602
82.700000	-0.283989	-0.162829
82.800000	-0.283989	-0.165033
82.900000	-0.283989	-0.167213
83.000000	-0.283989	-0.169369
83.100000	-0.283989	-0.171502
83.200000	-0.283989	-0.173611
83.300000	-0.283989	-0.175697
83.400000	-0.283989	-0.177759
83.500000	-0.283989	-0.179797
83.600000	-0.283989	-0.181812
83.700000	-0.283989	-0.183804
83.800000	-0.283989	-0.185772
83.900000	-0.283989	-0.187716
84.000000	-0.283989	-0.189638
84.100000	-0.283989	-0.191535
84.200000	-0.283989	-0.193410
84.300000	-0.283989	-0.195261
84.400000	-0.283989	-0.197089
84.500000	-0.283989	-0.198894
84.600000	-0.283989	-0.200676
84.700000	-0.283989	-0.202434
84.800000	-0.283989	-0.204170
84.900000	-0.283989	-0.205882
85.000000	-0.283989	-0.207572
85.100000	-0.283989	-0.209239
85.200000	-0.283989	-0.210883
85.300000	-0.283989	-0.212504
85.400000	-0.283989	-0.214102
85.500000	-0.283989	-0.215679
85.600000	-0.283989	-0.217232
85.700000	-0.283989	-0.218763
85.800000	-0.283989	-0.220272
85.900000	-0.283989	-0.221759
86.000000	-0.283989	-0.223224
86.100000	-0.283989	-0.224666
86.200000	-0.283989	-0.226087
86.300000	-0.283989	-0.227485
